DID,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,SC,PHC,CHC,SDH,DH,TOTAL,POPULATION
0,105,IND,India,7,Chhattisgarh,101,Baloda Bazar,212,28,9,1,1,251,"1,304,881"
1,105,IND,India,7,Chhattisgarh,102,Balod,195,27,8,0,1,231,"826,019"
2,105,IND,India,7,Chhattisgarh,103,Balrampur,187,23,5,0,1,216,"730,275"
3,105,IND,India,7,Chhattisgarh,104,Bastar,245,41,6,5,1,298,"833,318"
4,105,IND,India,7,Chhattisgarh,105,Bemetara,127,21,4,1,1,153,"795,334"
5,105,IND,India,7,Chhattisgarh,106,Bijapur,72,10,5,0,1,88,"255,180"
6,105,IND,India,7,Chhattisgarh,107,Bilaspur,306,58,8,4,2,378,"1,960,466"
7,105,IND,India,7,Chhattisgarh,108,Dantewada,76,12,3,2,1,94,"283,479"
8,105,IND,India,7,Chhattisgarh,109,Dhamtari,182,24,5,0,1,212,"799,199"
9,105,IND,India,7,Chhattisgarh,110,Durg,212,29,10,1,1,253,"1,721,726"
10,105,IND,India,7,Chhattisgarh,111,Gariaband,194,16,6,0,1,217,"597,399"
11,105,IND,India,7,Chhattisgarh,112,Janjgir-Champa,271,50,11,2,1,335,"1,620,632"
12,105,IND,India,7,Chhattisgarh,113,Jashpur,259,34,9,0,1,303,"852,043"
13,105,IND,India,7,Chhattisgarh,114,Kawardha,145,23,5,0,1,174,"822,239"
14,105,IND,India,7,Chhattisgarh,115,Kondagaon,172,22,5,3,1,203,"578,326"
15,105,IND,India,7,Chhattisgarh,116,Korba,285,41,7,0,1,334,"1,206,563"
16,105,IND,India,7,Chhattisgarh,117,Koriya,161,27,5,0,1,194,"659,039"
17,105,IND,India,7,Chhattisgarh,118,Mahasamund,222,31,8,0,1,262,"1,032,275"
18,105,IND,India,7,Chhattisgarh,119,Mungeli,112,25,2,2,1,142,"701,611"
19,105,IND,India,7,Chhattisgarh,120,Narayanpur,63,8,1,0,1,73,"140,206"
20,105,IND,India,7,Chhattisgarh,121,Raigarh,350,53,10,3,1,417,"1,493,627"
21,105,IND,India,7,Chhattisgarh,122,Raipur,233,39,8,2,2,284,"2,159,880"
22,105,IND,India,7,Chhattisgarh,123,Rajnandgaon,332,50,10,1,1,394,"1,537,520"
23,105,IND,India,7,Chhattisgarh,124,Sukma,59,6,1,0,1,67,"249,988"
24,105,IND,India,7,Chhattisgarh,125,Surajpur,209,38,7,0,1,255,"788,969"
25,105,IND,India,7,Chhattisgarh,126,Surguja,202,26,6,0,1,235,"842,085"
26,105,IND,India,7,Chhattisgarh,127,Kanker,249,33,9,1,1,293,"748,593"
